City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
122,Brigantine,90,US,1603739061,88,39.41,-74.36,66.99,9.17
123,Fortuna,1,US,1603739061,25,40.6,-124.16,68.0,3.36
124,Carnarvon,0,AU,1603738912,94,-24.87,113.63,69.8,19.46
125,Bull Savanna,99,JM,1603739061,80,17.89,-77.59,80.98,17.18
126,Benguela,100,AO,1603739061,80,-12.58,13.41,75.11,5.88
127,Verkhniy Baskunchak,22,RU,1603739062,53,48.23,46.72,46.42,5.75
128,Mayo,90,US,1603739062,100,38.89,-76.51,60.01,5.82
129,Hays,75,US,1603739062,74,30.05,-98.03,80.6,8.05
130,Santa Rita,40,BR,1603739062,70,-7.11,-34.98,84.2,11.41
131,Cherskiy,0,RU,1603738817,93,68.75,161.3,4.89,5.93
132,Westport,90,US,1603738909,93,41.14,-73.36,55.0,8.05
133,Sayyan,1,YE,1603739062,34,15.17,44.32,54.03,4.0
134,Ust-Kuyga,100,RU,1603738908,87,70.02,135.6,-1.28,3.78
135,Arlit,0,NE,1603738956,13,18.74,7.39,84.34,8.75
136,Cherkasskoye,0,RU,1603739063,86,52.43,47.22,34.77,3.87
137,Awjilah,0,LY,1603738917,51,29.11,21.29,71.91,6.73
138,Ribeira Grande,40,PT,1603738832,88,38.52,-28.7,69.8,17.22
139,Palmer,90,US,1603739063,87,42.16,-72.33,51.01,3.36
140,Nikolskoye,40,RU,1603738911,87,59.7,30.79,46.99,8.95
141,Pitimbu,40,BR,1603739063,70,-7.47,-34.81,84.2,11.41
142,Mitsamiouli,19,KM,1603739064,73,-11.38,43.28,78.58,8.43
143,Enzan,21,JP,1603739064,92,35.7,138.73,48.99,0.56
144,Taoudenni,18,ML,1603738859,16,22.68,-3.98,91.18,10.85
145,Hastings,0,GB,1603739064,75,50.86,0.57,51.01,1.99
146,Guerrero Negro,4,MX,1603738920,51,27.98,-114.06,73.31,16.69
147,Hilo,90,US,1603738781,83,19.73,-155.09,75.99,5.82
148,Ontario,1,US,1603738857,5,34.06,-117.65,64.4,35.57
149,Nome,90,US,1603738892,74,64.5,-165.41,35.6,5.82
150,Talcahuano,0,CL,1603739064,58,-36.72,-73.12,57.2,13.87
151,Waingapu,82,ID,1603739065,75,-9.66,120.26,79.25,4.32
152,Chui,100,UY,1603738886,93,-33.7,-53.46,59.95,15.73
153,Port Elizabeth,90,ZA,1603738923,82,-33.92,25.57,64.4,21.92
154,Nanortalik,100,GL,1603738889,84,60.14,-45.24,36.05,8.84
155,Kaohsiung City,75,TW,1603739065,74,22.62,120.31,79.0,3.36
156,São João da Barra,75,BR,1603738914,78,-21.64,-41.05,77.0,9.17
157,Airai,62,TL,1603738856,100,-8.93,125.41,61.02,1.61
158,Progreso,75,MX,1603739065,74,21.28,-89.67,88.0,4.7
159,Rock Springs,1,US,1603739065,71,41.59,-109.2,6.8,8.05
160,Sal Rei,40,CV,1603739066,74,16.18,-22.92,82.4,19.46
161,Severnyy,0,RU,1603739066,70,50.68,36.55,46.4,8.95
162,Severo-Kuril'sk,93,RU,1603738929,85,50.68,156.12,43.07,2.71
163,Kousséri,0,CM,1603739066,28,12.08,15.03,82.4,4.7
164,Kapaa,40,US,1603738912,88,22.08,-159.32,77.0,6.93
165,Yegorlykskaya,100,RU,1603739066,62,46.57,40.66,53.46,14.61
166,Samarai,100,PG,1603738927,83,-10.62,150.67,81.18,8.41
167,Mbandaka,19,CD,1603739067,93,0.05,18.26,71.15,3.13
168,Pangai,75,TO,1603738937,88,-19.8,-174.35,75.2,13.87
169,Batticaloa,100,LK,1603739067,78,7.71,81.69,81.19,5.14
170,Tasiilaq,100,GL,1603738953,47,65.61,-37.64,33.8,16.11
171,Berbera,0,SO,1603739067,46,10.44,45.01,82.0,5.03
172,Paamiut,100,GL,1603739067,90,61.99,-49.67,32.67,32.82
173,Lorengau,100,PG,1603739067,75,-2.02,147.27,80.22,3.65
174,Porto Belo,20,BR,1603738891,78,-27.16,-48.55,79.0,16.11
175,Forsytheganj,0,BY,1603738920,81,52.63,29.73,47.52,9.75
176,Butaritari,100,KI,1603738901,66,3.07,172.79,81.32,5.97
177,Souillac,40,MU,1603738889,73,-20.52,57.52,73.4,9.17
178,Bethel,90,US,1603738847,87,41.37,-73.41,53.01,3.36
179,Saskylakh,98,RU,1603738843,93,71.92,114.08,4.06,5.88
180,Balvi,98,LV,1603739068,89,57.13,27.27,49.89,10.38
181,Touros,40,BR,1603738912,62,-5.2,-35.46,86.0,13.87
182,Erzin,100,TR,1603739068,31,36.96,36.2,78.01,5.99
183,Carauari,94,BR,1603739068,48,-4.88,-66.9,93.78,4.07
184,Cayenne,18,GF,1603739069,62,4.93,-52.33,87.8,14.99
185,Pevek,96,RU,1603738638,95,69.7,170.31,23.49,10.96
186,Erenhot,0,CN,1603739069,76,43.65,111.98,31.66,7.34
187,Dawlatabad,1,AF,1603739069,57,36.41,64.91,49.39,0.69
188,Beringovskiy,0,RU,1603738962,92,63.05,179.32,30.67,1.3
189,Vila Velha,75,BR,1603738887,69,-20.33,-40.29,80.6,20.8
190,Hong Kong,57,HK,1603738687,82,22.29,114.16,75.0,1.01
191,‘Ewa Beach,1,US,1603739069,83,21.32,-158.01,78.01,3.36
192,Departamento de Maldonado,40,UY,1603738914,77,-34.67,-54.92,61.0,23.04
193,Mucurapo,20,TT,1603738821,78,10.67,-61.53,86.0,4.0
194,Payson,1,US,1603739070,35,40.04,-111.73,30.0,3.36
195,Tadine,7,NC,1603739070,80,-21.55,167.88,71.91,10.83
196,Boulsa,0,BF,1603739070,18,12.67,-0.58,84.09,3.76
197,Pisco,0,PE,1603738928,68,-13.7,-76.22,70.0,8.05
198,Pathein,0,MM,1603739070,90,16.78,94.73,75.99,3.85
199,Jiazi,69,CN,1603738908,80,22.88,116.07,70.05,15.19
200,Walvis Bay,0,NA,1603738946,82,-22.96,14.51,59.0,5.82
201,Riyadh,0,SA,1603738668,28,24.69,46.72,73.4,3.38
202,Korampallam,89,IN,1603739071,71,8.77,78.1,81.72,4.23
203,Lebu,100,CL,1603738839,67,-37.62,-73.65,54.73,7.81
204,Upernavik,95,GL,1603738872,80,72.79,-56.15,17.26,4.54
205,Kenai,90,US,1603739071,87,60.55,-151.26,44.01,18.34
206,Esperance,0,AU,1603738931,87,-33.87,121.9,57.2,8.05
207,Talnakh,40,RU,1603738907,84,69.49,88.4,1.4,1.59
208,Alofi,90,NU,1603738881,88,-19.06,-169.92,69.8,10.29
209,La Asuncion,0,VE,1603738936,72,11.03,-63.86,83.44,13.04
210,Otavi,88,NA,1603739072,24,-19.65,17.33,81.72,15.99
211,Cabo San Lucas,5,MX,1603738901,45,22.89,-109.91,90.0,8.05
212,Saint-Pierre,41,RE,1603739072,83,-21.34,55.48,71.6,5.82
213,San Anselmo,1,US,1603739072,4,37.97,-122.56,71.6,5.82
214,Waterford,90,US,1603739072,70,42.7,-83.4,46.0,10.29
215,Kolokani,6,ML,1603739072,15,13.57,-8.03,81.79,7.23
216,Khatanga,77,RU,1603738871,94,71.97,102.5,2.64,9.35
217,Sisimiut,72,GL,1603739073,88,66.94,-53.67,21.49,3.49
218,Peniche,100,PT,1603738907,73,39.36,-9.38,57.99,7.96
219,Sangar,100,RU,1603738901,97,63.92,127.47,18.0,2.28
220,Portland,20,US,1603738820,52,45.52,-122.68,48.0,4.7
221,Orcotuna,100,PE,1603739073,37,-11.97,-75.33,65.93,7.07
222,Spearfish,1,US,1603739073,61,44.49,-103.86,28.99,4.7
223,São Gabriel da Cachoeira,93,BR,1603739073,50,-0.13,-67.09,93.09,1.48
224,Honiara,20,SB,1603738968,94,-9.43,159.95,75.2,2.53
225,Saint Paul Harbor,1,US,1603738903,45,57.79,-152.41,48.2,17.22
226,Bichura,0,RU,1603739074,81,50.59,107.6,25.61,2.28
227,Maitum,90,PH,1603739074,71,6.04,124.5,78.31,3.06
228,El Carmen,21,CO,1603739074,61,8.51,-73.45,82.72,2.84
229,Atagay,100,RU,1603739074,87,55.1,99.39,30.65,4.12
230,Foumban,82,CM,1603739074,84,5.73,10.9,66.99,3.04
231,Totoró,60,CO,1603739074,78,2.51,-76.4,64.02,0.78
232,Mhlume,100,SZ,1603739075,75,-26.03,31.85,75.99,1.01
233,Calmar,75,CA,1603739075,40,53.27,-113.82,37.4,11.41
234,Lüderitz,0,NA,1603738902,70,-26.65,15.16,62.51,20.13
235,Lompoc,1,US,1603738693,59,34.64,-120.46,70.0,6.46
236,Port Macquarie,97,AU,1603738955,95,-31.43,152.92,57.0,13.18
237,Riohacha,8,CO,1603739075,62,11.54,-72.91,88.97,14.67
238,Nongstoin,0,IN,1603739075,95,25.52,91.27,59.11,3.0
239,Sibu,75,MY,1603739075,94,2.3,111.82,75.2,4.7
240,Enid,90,US,1603739038,100,36.4,-97.88,28.4,6.93
241,Kutum,70,SD,1603738958,20,14.2,24.67,75.97,12.62
242,Fonte Boa,60,BR,1603739076,57,-2.5,-66.27,88.88,2.42
243,Zhezkazgan,1,KZ,1603739076,63,47.8,67.71,44.91,15.41
244,La Ronge,5,CA,1603738941,54,55.1,-105.28,28.4,12.75
245,Abhā,0,SA,1603738941,14,18.22,42.51,68.0,6.93
246,Antofagasta,20,CL,1603738932,59,-23.65,-70.4,68.0,12.75
247,Constitución,5,CL,1603738919,55,-35.33,-72.42,59.56,17.29
248,Māngrol,0,IN,1603739076,63,21.12,70.12,82.53,0.92
249,Gizo Government Station,100,SB,1603739077,73,-8.1,156.84,81.75,2.21
250,São Paulo de Olivença,91,BR,1603738864,51,-3.38,-68.87,93.42,2.89
251,Ballina,90,AU,1603738864,82,-28.87,153.57,66.2,11.41
252,Caucaia,20,BR,1603738880,70,-3.74,-38.65,84.2,13.87
253,Cockburn Town,100,TC,1603739077,79,21.46,-71.14,83.26,19.82
254,Okha,93,RU,1603738926,84,53.57,142.95,39.52,11.14
255,Valparaíso,0,CL,1603739077,40,-33.04,-71.63,71.6,16.11
256,Trinitapoli,20,IT,1603739078,63,41.36,16.09,62.6,4.7
257,Mariehamn,90,AX,1603738915,93,60.1,19.93,51.8,10.29
258,Ponta do Sol,75,PT,1603738960,77,32.67,-17.1,66.2,9.17
259,Edgewater,75,US,1603739021,78,28.99,-80.9,84.99,11.41
260,Mezhdurechensk,100,RU,1603739078,92,53.69,88.06,38.43,3.4
261,College,90,US,1603738919,92,64.86,-147.8,30.2,6.93
262,Lashio,10,MM,1603739079,99,22.93,97.75,65.39,1.66
263,Surgut,90,RU,1603739079,100,61.25,73.42,24.8,13.42
264,Hamilton,90,US,1603738886,81,39.18,-84.53,51.8,5.82
265,Takaka,100,NZ,1603739079,93,-40.85,172.8,60.01,8.01
266,Geraldton,40,AU,1603738900,93,-28.77,114.6,55.4,10.25
267,Mapimí,5,MX,1603739079,22,25.82,-103.85,86.0,2.46
268,Tomatlán,52,MX,1603738968,61,19.93,-105.25,90.36,6.22
269,Øksfjord,0,NO,1603739079,75,70.24,22.35,41.0,14.99
